id,file_name,file_url,is_cover,product_variant,supabase_path,upload_status,uploaded_at,file_size,upload_error,checksum
30,100806-410__B_2__9a2a251cc96641a0a289350096a7a8c5.png,/images/products/100806-410__B_2__9a2a251cc96641a0a289350096a7a8c5.png,false,6,,local,,651906,,3037ccd582f84a78a69cc857e5bd0a48
31,100806-410__D_100__c58060d93d5f4ab784f10d4b72d949a5.png,/images/products/100806-410__D_100__c58060d93d5f4ab784f10d4b72d949a5.png,false,6,,local,,785988,,8c3d81469a7dcebb421b440c4c23c2dc
32,100806-410__S_0__c7c9ee7f3b044cfcbaa0eb5554b7085a.png,/images/products/100806-410__S_0__c7c9ee7f3b044cfcbaa0eb5554b7085a.png,true,6,,local,,522789,,d28888863f157a17aa64561e9965267e
33,101032-001__B_1__8ac68e61cad54a28917a062310780591.png,/images/products/101032-001__B_1__8ac68e61cad54a28917a062310780591.png,false,7,,local,,879054,,8ac34fb66209661b6ff709b5e3b12011
34,101032-001__B_2__f4593f5f51a74f1a99b7387ac93a1d1b.png,/images/products/101032-001__B_2__f4593f5f51a74f1a99b7387ac93a1d1b.png,false,7,,local,,956812,,0fb6cd151999bc2bb7ed6a32e1695285
35,101032-001__B_3__5b017774afd1474c95e87d734d75356a.png,/images/products/101032-001__B_3__5b017774afd1474c95e87d734d75356a.png,false,7,,local,,1052399,,fde45a5d86d5088da4cc5acea12a9060
36,101032-001__D_100__486a3e0c9257462da8803e02bbe42d6b.png,/images/products/101032-001__D_100__486a3e0c9257462da8803e02bbe42d6b.png,false,7,,local,,881642,,0f88452ab2a479d9b214de964d99544f
37,101032-001__S_0__45e7780ce23143359e659da5dc2c355f.png,/images/products/101032-001__S_0__45e7780ce23143359e659da5dc2c355f.png,true,7,,local,,790854,,99f8ee5765989def3392a1b690c39b02
38,101032-410__B_1__b9bb8934f02d4a2ba49242a3cf6710d7.png,/images/products/101032-410__B_1__b9bb8934f02d4a2ba49242a3cf6710d7.png,false,8,,local,,948687,,b4937908172095366e35a69ea55b737a
39,101032-410__B_2__53f10db7cffb4f6e97fb04194a0364de.png,/images/products/101032-410__B_2__53f10db7cffb4f6e97fb04194a0364de.png,false,8,,local,,1049089,,b5657e7549192736c3b53435ec1589e2
40,101032-410__D_100__26a86fc223b54603b4f19bebf8e17fd6.png,/images/products/101032-410__D_100__26a86fc223b54603b4f19bebf8e17fd6.png,false,8,,local,,949876,,a346ba3cb509ce394606d5893b2f5ccd
41,101032-410__S_0__05aca077e79c4361a6c657a4ae0647a2.png,/images/products/101032-410__S_0__05aca077e79c4361a6c657a4ae0647a2.png,true,8,,local,,844187,,a16b0bc598abf1cb1ae0c4ab2d72d2da
42,101036-001__B_1__55f6fedeeaa545239d3722b52d0c25a1.png,/images/products/101036-001__B_1__55f6fedeeaa545239d3722b52d0c25a1.png,false,9,,local,,482870,,d66e4d34323065212118ca1810bc1673
43,101036-001__B_2__416b48ce5e114ba0924b089db9a1f88c.png,/images/products/101036-001__B_2__416b48ce5e114ba0924b089db9a1f88c.png,false,9,,local,,409864,,8001c01cf76d607a40615cc525247b04
44,101036-001__B_3__9202e1bd04d44c68979b6c9839e7534b.png,/images/products/101036-001__B_3__9202e1bd04d44c68979b6c9839e7534b.png,false,9,,local,,463372,,219e44b6fc11acbb659a35e42692550b
