id,name,slug,cover
1,Office,office,https://mhkvikuzfhnivsuxqgxi.supabase.co/storage/v1/object/public/misc/category_covers/office.png
2,Apparel,apparel,https://mhkvikuzfhnivsuxqgxi.supabase.co/storage/v1/object/public/misc/category_covers/apparel.png
3,Bags,bags,https://mhkvikuzfhnivsuxqgxi.supabase.co/storage/v1/object/public/misc/category_covers/bags.png
4,Drinkware,drinkware,https://mhkvikuzfhnivsuxqgxi.supabase.co/storage/v1/object/public/misc/category_covers/drinkware.png
5,Tech,tech,https://mhkvikuzfhnivsuxqgxi.supabase.co/storage/v1/object/public/misc/category_covers/tech.png
6,Outdoor,outdoor,https://mhkvikuzfhnivsuxqgxi.supabase.co/storage/v1/object/public/misc/category_covers/outdoor.png
7,Wellness,wellness,https://mhkvikuzfhnivsuxqgxi.supabase.co/storage/v1/object/public/misc/category_covers/wellness.png
8,Home,home,https://mhkvikuzfhnivsuxqgxi.supabase.co/storage/v1/object/public/misc/category_covers/home.png
9,Other,other,https://mhkvikuzfhnivsuxqgxi.supabase.co/storage/v1/object/public/misc/category_covers/other.png
